category,name,latitude,longitude,city,state,osm_url,matched_keyword,km_to_town,review
haunted,Asylum 49,40.526335,-112.295012,Tooele,UT,https://www.openstreetmap.org/node/9631849882,,0.6,
haunted,Hirschi's Haunted Hollow,42.099848,-111.896225,Preston,ID,https://www.openstreetmap.org/node/11279806881,,1.7,
haunted,Sinister Sidney,40.748182,-95.635706,Sidney,IA,https://www.openstreetmap.org/node/6239206983,,,
haunted,Anamosa State Penitentiary Museum,42.112511,-91.29138,Anamosa,IA,https://www.openstreetmap.org/node/367089373,,0.7,
haunted,Haunted Trails,41.55012,-88.088541,Crest Hill,IL,https://www.openstreetmap.org/way/495983548,,1.0,
haunted,The Haunted Jail,41.155809,-85.48714,Columbia City,IN,https://www.openstreetmap.org/node/5931585811,,0.2,
haunted,Gutscher Sanitarium,41.178473,-85.615611,Pierceton,IN,https://www.openstreetmap.org/node/13102724788,,7.9,
haunted,Haunted Town Hall,40.759125,-83.948266,Lafayette,OH,https://www.openstreetmap.org/way/703782669,,,
haunted,Irene Byron Tuberculosis Sanatorium,41.196455,-85.170248,Huntertown,IN,https://www.openstreetmap.org/way/948717037,,3.6,
haunted,Haunted Hootchie,39.990871,-82.74832,Pataskala,OH,https://www.openstreetmap.org/node/3118461459,,,
haunted,13th Floor Haunted House,40.08219,-82.948515,Columbus,OH,https://www.openstreetmap.org/way/637555091,,,
haunted,Hundred Acres Manor Haunted House,40.333511,-80.009363,Bethel Park,PA,https://www.openstreetmap.org/way/699118501,,,
haunted,West Virginia State Penitentiary Tours,39.916014,-80.742304,Moundsville,WV,https://www.openstreetmap.org/way/829669282,,,
haunted,Haunted Mansion,40.879976,-76.505058,Elysburg,PA,https://www.openstreetmap.org/node/3700461518,,4.3,
haunted,Brighton Asylum,40.858032,-74.143347,Passaic,NJ,https://www.openstreetmap.org/node/4830873565,,,
haunted,Pine Bush UFO Museum,41.609741,-74.301059,Pine Bush,NY,https://www.openstreetmap.org/node/8703565078,,,
haunted,13th Hour Haunted House,40.905432,-74.586599,Wharton,NJ,https://www.openstreetmap.org/node/9201376625,,,
haunted,The Bates Motel & Haunted Hayride,39.945144,-75.49665,Lima,PA,https://www.openstreetmap.org/node/12304730005,,5.7,
haunted,Haunted Coal Mine,40.288598,-76.653548,Hershey,PA,https://www.openstreetmap.org/node/12994423868,,0.4,
haunted,Estate of Evil,40.291262,-76.655507,Hershey,PA,https://www.openstreetmap.org/node/12995085649,,0.7,
haunted,Auntie Mortem's Abattoir,40.293825,-76.654432,Hershey,PA,https://www.openstreetmap.org/node/12995090391,,0.9,
haunted,Haunted Halloween House,40.901362,-74.95719,Oxford,NJ,https://www.openstreetmap.org/way/260858515,,11.3,
haunted,Eastern State Penitentiary,39.968336,-75.172675,Philadelphia,PA,https://www.openstreetmap.org/way/320052082,,,
haunted,Headless Horseman Hayrides and Haunted Houses,41.851567,-73.972109,Port Ewen,NY,https://www.openstreetmap.org/way/419550850,,6.0,
haunted,The Dark Manor Haunted House,41.597772,-72.046822,Sprague,CT,https://www.openstreetmap.org/way/926063400,,,
haunted,The Haunted World,43.66392,-116.575007,Middleton,ID,https://www.openstreetmap.org/node/11688514958,,6.0,
haunted,Old Idaho Penitentiary,43.602249,-116.162206,Boise,ID,https://www.openstreetmap.org/way/421958184,,,
haunted,Dark Chambers Haunted Attraction,42.555348,-90.61058,East Dubuque,IL,https://www.openstreetmap.org/node/13891305702,,7.5,
